date,spec_net,hedger_net,M_Money_Positions_Long_All,M_Money_Positions_Short_All,Prod_Merc_Positions_Long_All,Prod_Merc_Positions_Short_All,Open_Interest_All,price
2020-01-07,57014,-59486,87915,30901,6817,66303,234324,18.31599998474121
2020-01-14,57179,-59700,90678,33499,7080,66780,234639,17.673999786376953
2020-01-21,56558,-61364,88457,31899,7147,68511,233858,17.750999450683594
2020-01-28,47967,-59523,82822,34855,8310,67833,231933,17.402000427246094
2020-02-04,55218,-59406,78635,23417,9345,68751,224936,17.527999877929688
2020-02-11,54707,-59138,77942,23235,10033,69171,221858,17.572999954223633
2020-02-18,65952,-64267,89145,23193,10889,75156,238077,18.131000518798828
2020-02-25,61689,-63733,86886,25197,10906,74639,238970,18.183000564575195
2020-03-03,28971,-56751,57906,28935,8026,64777,196909,17.128999710083008
2020-03-10,26746,-50895,52958,26212,9648,60543,187060,16.9060001373291
2020-03-17,21938,-50125,37409,15471,9947,60072,166682,12.468999862670898
2020-03-24,14011,-44141,30238,16227,9301,53442,150700,14.229000091552734
2020-03-31,17974,-41884,30406,12432,8516,50400,139256,14.097999572753906
2020-04-07,16622,-42956,30348,13726,8926,51882,138974,15.42199993133545
2020-04-14,15448,-42868,29960,14512,10925,53793,143477,16.07200050354004
2020-04-21,13791,-38568,29186,15395,11536,50104,139607,14.817999839782715
2020-04-28,14489,-36996,30971,16482,10257,47253,138349,15.161999702453613
2020-05-05,10467,-35494,28398,17931,11189,46683,132573,15.057000160217285
2020-05-12,13943,-38490,29123,15180,10032,48522,135987,15.687000274658203
2020-05-19,21466,-42550,37565,16099,10796,53346,151890,17.892000198364258
2020-05-26,26107,-43940,40777,14670,10466,54406,158185,17.565000534057617
2020-06-02,26718,-47012,43751,17033,10983,57995,169670,18.207000732421875
2020-06-09,23022,-44390,44266,21244,11886,56276,175240,17.77400016784668
2020-06-16,27238,-46171,47457,20219,12863,59034,174386,17.631999969482422
2020-06-23,28743,-48495,51295,22552,11769,60264,183444,18.051000595092773
2020-06-30,35150,-43414,59931,24781,6076,49490,169418,18.541000366210938
2020-07-07,36016,-42382,62211,26195,6059,48441,169513,18.628000259399414
2020-07-14,42627,-48552,65615,22988,5375,53927,178367,19.451000213623047
2020-07-21,48656,-48512,71496,22840,7003,55515,185745,21.496999740600586
2020-07-28,32775,-42147,57957,25182,9459,51606,184020,24.266000747680664
2020-08-04,32127,-46211,57977,25850,11200,57411,205527,26.011999130249023
2020-08-11,23978,-41924,51351,27373,11014,52938,198069,26.03700065612793
2020-08-18,32257,-43898,58680,26423,9506,53404,194897,28.048999786376953
2020-08-25,38080,-47029,61800,23720,8029,55058,187631,26.253999710083008
2020-09-01,37587,-49734,61853,24266,8353,58087,166449,28.486000061035156
2020-09-08,35824,-47997,59951,24127,8516,56513,158991,26.86400032043457
2020-09-15,39265,-51567,63247,23982,7659,59226,162397,27.34600067138672
2020-09-22,36495,-47934,61547,25052,8393,56327,157908,24.441999435424805
2020-09-29,35671,-49550,59160,23489,7752,57302,157308,24.3799991607666
2020-10-06,35268,-48825,59688,24420,8468,57293,155484,23.8700008392334
2020-10-13,34134,-49474,59942,25808,8248,57722,158203,24.086000442504883
2020-10-20,39975,-51165,61839,21864,7347,58512,157845,24.937000274658203
2020-10-27,41632,-50660,63091,21459,7927,58587,160550,24.525999069213867
2020-11-03,40683,-49054,59694,19011,7241,56295,153267,24.30500030517578
2020-11-10,40677,-49167,59526,18849,7975,57142,155011,24.445999145507812
2020-11-17,43209,-49484,63981,20772,8670,58154,160972,24.635000228881836
2020-11-24,41657,-49001,62795,21138,8082,57083,162092,23.29199981689453
2020-12-01,42706,-52456,64370,21664,8163,60619,152372,24.033000946044922
2020-12-08,42782,-53287,66057,23275,7424,60711,154821,24.68400001525879
2020-12-15,43180,-53158,66679,23499,7675,60833,158268,24.58099937438965
2020-12-21,47244,-57499,71548,24304,7792,65291,171398,26.277999877929688
2020-12-29,46006,-55290,72144,26138,7925,63215,170057,26.13800048828125
2021-01-05,45890,-56002,73290,27400,7521,63523,176005,27.570999145507812
2021-01-12,41944,-51121,69805,27861,7639,58760,170033,25.384000778198242
2021-01-19,40162,-50486,65788,25626,7067,57553,166896,25.27899932861328
2021-01-26,42998,-52908,66111,23113,7023,59931,167880,25.52899932861328
2021-02-02,38638,-55959,61069,22431,7225,63184,179786,26.384000778198242
2021-02-09,37445,-57174,61284,23839,8228,65402,179288,27.395999908447266
2021-02-16,38764,-56056,63102,24338,9487,65543,183544,27.319000244140625
2021-02-23,37502,-56057,62102,24600,7756,63813,172392,27.68600082397461
2021-03-02,29525,-51670,58364,28839,7883,59553,158349,26.850000381469727
2021-03-09,26326,-49775,55268,28942,8094,57869,155425,26.148000717163086
2021-03-16,24594,-48332,55219,30625,8211,56543,159092,25.974000930786133
2021-03-23,21869,-46993,54438,32569,8380,55373,160437,25.200000762939453
2021-03-30,20836,-42797,51964,31128,8795,51592,154987,24.121000289916992
2021-04-06,24438,-45265,53877,29439,8844,54109,154593,25.211999893188477
2021-04-13,28567,-47226,55910,27343,9209,56435,164066,25.41699981689453
2021-04-20,33987,-49381,61979,27992,9592,58973,169420,25.834999084472656
2021-04-27,36556,-51725,64769,28213,9139,60864,172470,26.41200065612793
2021-05-04,42554,-53265,66702,24148,8929,62194,167073,26.538999557495117
2021-05-11,46491,-54917,73342,26851,9440,64357,178250,27.656999588012695
2021-05-18,45011,-54206,73685,28674,9339,63545,181606,28.31399917602539
2021-05-25,43666,-53928,72629,28963,9799,63727,180830,28.03700065612793
2021-06-01,40679,-53764,70120,29441,9991,63755,182312,28.08300018310547
2021-06-08,42384,-52043,68150,25766,11013,63056,184841,27.71500015258789
2021-06-15,44265,-50985,72624,28359,12311,63296,194268,27.679000854492188
2021-06-22,29532,-44646,56371,26839,11083,55729,175703,25.847999572753906
2021-06-29,32854,-44638,56930,24076,6249,50887,157119,25.871999740600586
2021-07-06,34999,-48901,60782,25783,5041,53942,157216,26.15399932861328
2021-07-13,34155,-46987,59448,25293,5217,52204,154699,26.114999771118164
2021-07-20,26082,-43310,53215,27133,5719,49029,151763,24.976999282836914
2021-07-27,20926,-40505,50846,29920,5698,46203,150814,24.631999969482422
2021-08-03,25410,-41781,50878,25468,4864,46645,146196,25.56599998474121
2021-08-10,11740,-36231,46631,34891,5545,41776,154491,23.37700080871582
2021-08-17,9755,-34875,48227,38472,5832,40707,153825,23.648000717163086
2021-08-24,10624,-35775,48094,37470,5294,41069,149847,23.889999389648438
2021-08-31,12273,-34629,49008,36735,5197,39826,140937,23.959999084472656
2021-09-07,17776,-35968,49406,31630,4927,40895,139187,24.333999633789062
2021-09-14,14086,-35536,48598,34512,4864,40400,140540,23.841999053955078
2021-09-21,1310,-31015,48233,46923,5362,36377,145537,22.572999954223633
2021-09-28,3524,-31135,47442,43918,5245,36380,142163,22.43000030517578
2021-10-05,4644,-30866,47463,42819,5454,36320,139763,22.582000732421875
2021-10-12,5056,-32078,47447,42391,4968,37046,139403,22.490999221801758
2021-10-19,19437,-38304,50040,30603,3747,42051,143664,23.86199951171875
2021-10-26,29132,-41852,52646,23514,3361,45213,141581,24.086000442504883
2021-11-02,23969,-40880,50391,26422,3508,44388,141394,23.5
2021-11-09,27248,-43866,50950,23702,3013,46879,144370,24.312999725341797
2021-11-16,35290,-45659,59631,24341,2642,48301,152404,24.944000244140625
2021-11-23,29813,-44361,54714,24901,4283,48644,149642,23.434999465942383
2021-11-30,27524,-40362,48877,21353,3915,44277,138003,22.764999389648438
2021-12-07,17665,-38814,47419,29754,4490,43304,136572,22.48699951171875
2021-12-14,9205,-35427,47486,38281,6477,41904,142384,21.886999130249023
2021-12-21,10658,-34826,48399,37741,6221,41047,141119,22.50200080871582
2021-12-28,17446,-36422,50454,33008,6018,42440,141246,23.111000061035156
2022-01-04,21777,-37782,51595,29818,5466,43248,139521,23.038000106811523
2022-01-11,17802,-37585,50316,32514,5749,43334,144442,22.805999755859375
2022-01-18,23716,-42431,53143,29427,5561,47992,148737,23.48699951171875
2022-01-25,27419,-44069,51622,24203,5207,49276,151779,23.895999908447266
2022-02-01,11959,-38175,46101,34142,6738,44913,149136,22.59600067138672
2022-02-08,10161,-36867,43252,33091,6490,43357,147379,23.19499969482422
2022-02-15,17465,-37842,44274,26809,5951,43793,156968,23.33799934387207
2022-02-22,25649,-41895,46736,21087,4903,46798,163745,24.31100082397461
2022-03-01,42295,-46205,59592,17297,3684,49889,157391,25.534000396728516
2022-03-08,48680,-50400,64367,15687,4754,55154,168283,26.88800048828125
2022-03-15,48043,-45623,62249,14206,3762,49385,159571,25.12299919128418
2022-03-22,43828,-44941,57604,13776,3605,48546,155456,24.885000228881836
2022-03-29,42131,-42982,54378,12247,3747,46729,147370,24.715999603271484
2022-04-05,38965,-40736,52412,13447,4275,45011,148526,24.527999877929688
2022-04-12,42080,-43222,54935,12855,4279,47501,158813,25.725000381469727
2022-04-19,40718,-43653,57303,16585,3456,47109,170577,25.391000747680664
2022-04-26,26398,-39284,44689,18291,4365,43649,145538,23.54199981689453
2022-05-03,15190,-34710,40692,25502,4197,38907,137692,22.621000289916992
2022-05-10,1846,-30711,39862,38016,5397,36108,142752,21.389999389648438
2022-05-17,327,-29786,40809,40482,6566,36352,144534,21.73699951171875
2022-05-24,-859,-29484,41545,42404,7083,36567,146456,22.062999725341797
2022-05-31,3051,-30875,40984,37933,6826,37701,147301,21.650999069213867
2022-06-07,6832,-33058,40650,33818,6370,39428,148294,22.159000396728516
2022-06-14,1609,-29111,40712,39103,8215,37326,151978,20.93600082397461
2022-06-21,7230,-31478,39405,32175,5309,36787,145356,21.753999710083008
2022-06-28,745,-24482,39039,38294,7147,31629,135775,20.797000885009766
2022-07-05,-8745,-19060,37322,46067,9022,28082,140463,19.052000045776367
2022-07-12,-10448,-18772,37095,47543,9491,28263,142259,18.89900016784668
2022-07-19,-14041,-18523,36411,50452,9538,28061,145247,18.670000076293945
2022-07-26,-17818,-17213,36721,54539,10547,27760,147784,18.48699951171875
2022-08-02,-8856,-20307,33027,41883,7282,27589,136267,20.104999542236328
2022-08-09,-6543,-22963,32469,39012,7092,30055,141093,20.45800018310547
2022-08-16,-6091,-22776,31781,37872,8488,31264,144314,20.065000534057617
2022-08-23,-15824,-19762,31703,47527,9700,29462,144357,19.011999130249023
2022-08-30,-21031,-17874,31139,52170,8098,25972,138714,18.159000396728516
2022-09-06,-24743,-16732,33857,58600,8266,24998,138300,17.795000076293945
2022-09-13,-8285,-20408,38352,46637,5673,26081,135530,19.389999389648438
2022-09-20,-8021,-23157,36594,44615,4597,27754,132107,19.101999282836914
2022-09-27,-8093,-23539,34429,42522,4221,27760,129000,18.256999969482422
2022-10-04,5637,-28806,37885,32248,2928,31734,129524,21.03700065612793
2022-10-11,115,-27031,33493,33378,3773,30804,125623,19.427000045776367
2022-10-18,-7712,-21388,36365,44077,6748,28136,136055,18.570999145507812
2022-10-25,-7718,-23305,35428,43146,5335,28640,139085,19.339000701904297
2022-11-01,-5435,-25894,36025,41460,4537,30431,138875,19.67300033569336
2022-11-08,9392,-31021,38876,29484,3855,34876,140437,21.476999282836914
2022-11-15,13109,-31163,38106,24997,3258,34421,141623,21.499000549316406
2022-11-22,11699,-32388,37624,25925,3021,35409,128907,21.034000396728516
2022-11-29,13593,-31945,36960,23367,3137,35082,121258,21.20400047302246
2022-12-06,13338,-32119,37392,24054,3444,35563,122558,22.12299919128418
2022-12-13,19698,-35042,40880,21182,4548,39590,125555,23.801000595092773
2022-12-20,27931,-36363,45659,17728,4507,40870,129278,24.0939998626709
2022-12-27,28816,-36684,45022,16206,4702,41386,128467,24.040000915527344
2023-01-03,27777,-36500,46929,19152,4990,41490,131990,24.05900001525879
2023-01-10,23234,-33738,44900,21666,4858,38596,129961,23.506999969482422
2023-01-17,26468,-36257,46115,19647,4837,41094,131862,23.944000244140625
2023-01-24,19821,-34234,43507,23686,4479,38713,134922,23.64900016784668
2023-01-31,23787,-34739,44661,20874,5086,39825,138263,23.74799919128418
2023-02-07,5817,-28734,35026,29209,5292,34026,133601,22.117000579833984
2023-02-14,5318,-28159,33963,28645,4670,32829,132132,21.841999053955078
2023-02-21,5083,-26469,32856,27773,2195,28664,123906,21.868999481201172
2023-02-28,-7288,-22769,30354,37642,2616,25385,123900,20.961000442504883
2023-03-07,-17402,-19635,27811,45213,4089,23724,127503,20.054000854492188
2023-03-14,-4699,-23498,30952,35651,1897,25395,121772,21.929000854492188
2023-03-21,-277,-24391,30589,30866,2487,26878,119082,22.323999404907227
2023-03-28,10281,-26724,31927,21646,3024,29748,117395,23.323999404907227
2023-04-04,18445,-29576,38599,20154,4354,33930,131210,25.02199935913086
2023-04-11,17790,-30203,42763,24973,4314,34517,142699,25.131000518798828
2023-04-18,19813,-30665,49059,29246,4323,34988,158371,25.24799919128418
